GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22000017,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,48,95,0.505,10,25,0.4,25,29,0.862,8,40,48,28,8,8,10,18,131,12
22101219,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,89,0.483,11,31,0.355,23,23,1.0,7,28,35,26,15,3,8,17,120,-10
22101215,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,32,80,0.4,10,31,0.323,20,27,0.741,4,37,41,19,5,3,12,24,94,-6
22101199,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,89,0.483,10,28,0.357,25,34,0.735,8,37,45,31,5,5,12,22,121,-6
22101186,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,89,0.494,12,26,0.462,16,24,0.667,5,43,48,31,6,3,10,14,116,19
22101175,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,84,0.452,14,42,0.333,23,30,0.767,10,41,51,25,9,1,12,18,113,21
22101158,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,81,0.568,16,37,0.432,22,28,0.786,8,36,44,34,9,6,14,16,130,19
22101144,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,42,83,0.506,14,35,0.4,13,16,0.813,7,30,37,26,8,1,14,13,111,-1
22101128,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,47,100,0.47,7,29,0.241,22,28,0.786,17,39,56,28,11,5,12,20,123,3
22101107,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,92,0.424,7,26,0.269,22,25,0.88,16,33,49,22,4,6,10,17,107,4
22101094,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,94,0.489,19,44,0.432,22,24,0.917,14,39,53,34,8,11,13,13,133,37
22101070,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,98,0.388,15,40,0.375,19,25,0.76,17,27,44,25,7,2,10,18,110,2
22101054,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,32,89,0.36,11,44,0.25,16,20,0.8,8,32,40,22,5,4,16,12,91,-33
22101040,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,98,0.439,19,41,0.463,17,20,0.85,15,33,48,31,10,2,12,18,122,2
22101024,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,52,97,0.536,13,35,0.371,22,26,0.846,9,27,36,33,5,11,15,24,139,-10
22101007,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,42,102,0.412,11,34,0.324,13,16,0.813,15,37,52,28,6,3,10,15,108,-11
22101002,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,34,85,0.4,6,29,0.207,30,43,0.698,14,40,54,15,8,6,13,20,104,2
22100989,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,84,0.452,9,32,0.281,19,20,0.95,7,29,36,24,5,4,12,18,104,-15
22100973,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,84,0.548,9,26,0.346,16,30,0.533,12,35,47,28,6,7,16,18,117,7
22100955,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,45,98,0.459,11,37,0.297,16,20,0.8,13,38,51,28,7,6,10,18,117,-6
22100944,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,93,0.495,12,32,0.375,8,16,0.5,6,34,40,28,8,5,11,24,112,-3
22100923,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,99,0.414,9,32,0.281,14,19,0.737,12,26,38,30,13,3,9,18,105,-13
22100908,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,50,90,0.556,14,31,0.452,15,19,0.789,12,34,46,33,5,1,20,31,129,-4
